level,period,year,month,month_code,indicator,iqr,zscore,ttt
6,2014-08,2014.0,August,08,bcg,124.0,71.0,135.0
6,2014-03,2014.0,March,03,ipv,28.0,24.0,62.0
6,2014-03,2014.0,March,03,penta1,22.0,22.0,48.0
6,2015-02,2015.0,February,02,penta3,22.0,21.0,60.0
6,2015-04,2015.0,April,04,penta3,72.0,47.0,119.0
6,2015-08,2015.0,August,08,penta3,52.0,31.0,76.0
6,2015-10,2015.0,October,10,penta3,122.0,99.0,215.0
6,2014-06,2014.0,June,06,mcv1,130.0,74.0,140.0
6,2014-09,2014.0,September,09,mcv1,289.0,239.0,370.0
6,2015-05,2015.0,May,05,mcv1,41.0,39.0,58.0
6,2014-06,2014.0,June,06,rota2,114.0,73.0,130.0
6,2015-01,2015.0,January,01,rota2,29.0,22.0,76.0
6,2014-02,2014.0,February,02,full_vacc,23.0,13.0,46.0
5,2014-07,2014.0,July,07,bcg,1.0,0.0,0.0
5,2015-10,2015.0,October,10,bcg,2.0,4.0,12.0
5,2014-10,2014.0,October,10,mcv1,3.0,3.0,9.0
5,2014-06,2014.0,June,06,rota2,4.0,3.0,6.0
5,2015-01,2015.0,January,01,rota2,1.0,1.0,1.0
5,2014-08,2014.0,August,08,full_vacc,1.0,0.0,1.0
5,2015-08,2015.0,August,08,full_vacc,0.0,0.0,0.0
4,2013-12,2013.0,December,12,bcg,0.0,0.0,0.0
4,2014-11,2014.0,November,11,bcg,0.0,0.0,0.0
4,2015-05,2015.0,May,05,bcg,0.0,0.0,0.0
4,2013-11,2013.0,November,11,ipv,1.0,0.0,4.0
4,2015-05,2015.0,May,05,ipv,0.0,0.0,0.0
4,2013-12,2013.0,December,12,penta1,0.0,0.0,1.0
4,2014-04,2014.0,April,04,penta1,0.0,1.0,2.0
4,2015-03,2015.0,March,03,penta1,0.0,0.0,0.0
4,2015-05,2015.0,May,05,penta1,0.0,0.0,1.0
4,2015-09,2015.0,September,09,penta1,0.0,0.0,0.0
4,2015-07,2015.0,July,07,mcv1,0.0,0.0,1.0
4,2014-06,2014.0,June,06,rota2,0.0,0.0,2.0
4,2015-10,2015.0,October,10,rota2,0.0,0.0,1.0
4,2014-05,2014.0,May,05,full_vacc,0.0,0.0,0.0
4,2014-07,2014.0,July,07,full_vacc,0.0,0.0,2.0
4,2015-01,2015.0,January,01,full_vacc,0.0,0.0,0.0
4,2015-08,2015.0,August,08,full_vacc,0.0,0.0,0.0
6,2014-07,2014.0,July,07,bcg,119.0,86.0,160.0
6,2014-12,2014.0,December,12,bcg,33.0,12.0,38.0
6,2015-07,2015.0,July,07,bcg,27.0,21.0,51.0
6,2015-10,2015.0,October,10,bcg,176.0,159.0,315.0
6,2014-08,2014.0,August,08,ipv,223.0,152.0,275.0
6,2015-07,2015.0,July,07,ipv,36.0,20.0,66.0
6,2014-02,2014.0,February,02,penta1,28.0,18.0,65.0
6,2014-05,2014.0,May,05,penta1,49.0,41.0,82.0
6,2014-07,2014.0,July,07,penta3,106.0,66.0,144.0
6,2014-08,2014.0,August,08,penta3,230.0,156.0,278.0
6,2014-12,2014.0,December,12,penta3,30.0,16.0,53.0
6,2015-07,2015.0,July,07,penta3,34.0,18.0,67.0
6,2013-11,2013.0,November,11,mcv1,26.0,22.0,66.0
6,2014-04,2014.0,April,04,rota2,34.0,17.0,50.0
6,2014-10,2014.0,October,10,rota2,178.0,129.0,258.0
6,2014-11,2014.0,November,11,rota2,37.0,32.0,82.0
6,2015-03,2015.0,March,03,rota2,19.0,13.0,48.0
6,2014-03,2014.0,March,03,full_vacc,24.0,15.0,58.0
6,2014-05,2014.0,May,05,full_vacc,29.0,25.0,46.0
5,2014-05,2014.0,May,05,bcg,1.0,1.0,3.0
5,2015-05,2015.0,May,05,bcg,0.0,0.0,1.0
5,2015-09,2015.0,September,09,bcg,1.0,0.0,1.0
5,2014-05,2014.0,May,05,ipv,0.0,0.0,1.0
5,2015-10,2015.0,October,10,ipv,2.0,2.0,8.0
5,2014-05,2014.0,May,05,penta3,1.0,0.0,1.0
5,2015-05,2015.0,May,05,penta3,1.0,2.0,4.0
5,2015-09,2015.0,September,09,penta3,2.0,1.0,2.0
5,2015-10,2015.0,October,10,penta3,2.0,2.0,10.0
5,2014-06,2014.0,June,06,mcv1,3.0,3.0,6.0
5,2015-01,2015.0,January,01,mcv1,1.0,1.0,1.0
5,2013-12,2013.0,December,12,rota2,0.0,0.0,0.0
5,2015-03,2015.0,March,03,rota2,0.0,0.0,1.0
4,2014-04,2014.0,April,04,bcg,0.0,0.0,0.0
4,2014-08,2014.0,August,08,bcg,1.0,0.0,1.0
4,2015-06,2015.0,June,06,bcg,0.0,1.0,1.0
4,2013-12,2013.0,December,12,ipv,0.0,0.0,0.0
4,2014-04,2014.0,April,04,ipv,0.0,0.0,0.0
4,2014-11,2014.0,November,11,ipv,0.0,0.0,1.0
4,2015-06,2015.0,June,06,ipv,0.0,0.0,0.0
4,2013-11,2013.0,November,11,penta1,1.0,0.0,2.0
4,2015-01,2015.0,January,01,penta1,0.0,0.0,0.0
4,2014-04,2014.0,April,04,penta3,0.0,0.0,0.0
4,2014-08,2014.0,August,08,penta3,2.0,3.0,3.0
4,2015-06,2015.0,June,06,penta3,0.0,0.0,0.0
4,2014-06,2014.0,June,06,mcv1,0.0,1.0,2.0
4,2015-03,2015.0,March,03,mcv1,0.0,0.0,0.0
4,2015-10,2015.0,October,10,mcv1,2.0,2.0,6.0
4,2014-02,2014.0,February,02,rota2,0.0,0.0,1.0
4,2013-11,2013.0,November,11,full_vacc,1.0,0.0,2.0
4,2015-03,2015.0,March,03,full_vacc,0.0,0.0,1.0
4,2015-09,2015.0,September,09,full_vacc,0.0,1.0,3.0
6,2015-02,2015.0,February,02,bcg,33.0,20.0,57.0
6,2015-04,2015.0,April,04,bcg,109.0,82.0,153.0
6,2015-05,2015.0,May,05,bcg,18.0,16.0,29.0
6,2015-08,2015.0,August,08,bcg,27.0,11.0,39.0
6,2014-07,2014.0,July,07,ipv,107.0,68.0,148.0
6,2014-12,2014.0,December,12,ipv,29.0,18.0,52.0
6,2015-02,2015.0,February,02,ipv,22.0,22.0,58.0
6,2015-10,2015.0,October,10,ipv,125.0,102.0,216.0
6,2014-09,2014.0,September,09,penta1,153.0,89.0,186.0
6,2015-05,2015.0,May,05,penta1,16.0,11.0,28.0
6,2013-12,2013.0,December,12,mcv1,20.0,16.0,41.0
6,2014-03,2014.0,March,03,mcv1,20.0,12.0,59.0
6,2014-01,2014.0,January,01,rota2,31.0,23.0,71.0
6,2015-06,2015.0,June,06,rota2,23.0,13.0,38.0
