level,period,year,month,month_code,indicator,iqr,zscore,ttt
5,2014-02,2014.0,February,02,penta1,0.0,0.0,2.0
5,2014-11,2014.0,November,11,penta1,0.0,0.0,0.0
5,2014-10,2014.0,October,10,penta3,1.0,1.0,5.0
5,2014-07,2014.0,July,07,mcv1,1.0,1.0,1.0
5,2014-02,2014.0,February,02,full_vacc,1.0,1.0,1.0
5,2015-06,2015.0,June,06,full_vacc,0.0,0.0,1.0
5,2015-07,2015.0,July,07,full_vacc,0.0,0.0,0.0
4,2014-06,2014.0,June,06,bcg,1.0,3.0,4.0
4,2015-10,2015.0,October,10,bcg,2.0,4.0,6.0
4,2014-03,2014.0,March,03,ipv,0.0,0.0,1.0
4,2014-02,2014.0,February,02,penta1,0.0,0.0,1.0
4,2014-12,2014.0,December,12,penta1,0.0,0.0,2.0
4,2014-03,2014.0,March,03,penta3,0.0,0.0,0.0
4,2015-10,2015.0,October,10,penta3,1.0,1.0,2.0
4,2014-08,2014.0,August,08,mcv1,0.0,0.0,0.0
4,2014-11,2014.0,November,11,mcv1,0.0,0.0,1.0
4,2015-06,2015.0,June,06,mcv1,1.0,1.0,1.0
4,2015-07,2015.0,July,07,rota2,0.0,0.0,1.0
4,2014-01,2014.0,January,01,full_vacc,0.0,0.0,1.0
4,2014-09,2014.0,September,09,full_vacc,1.0,1.0,2.0
4,2014-11,2014.0,November,11,full_vacc,0.0,0.0,1.0
4,2014-12,2014.0,December,12,full_vacc,1.0,0.0,3.0
6,2014-04,2014.0,April,04,bcg,25.0,16.0,46.0
6,2014-11,2014.0,November,11,bcg,31.0,14.0,36.0
6,2015-01,2015.0,January,01,bcg,47.0,27.0,66.0
6,2015-01,2015.0,January,01,ipv,27.0,19.0,54.0
6,2014-01,2014.0,January,01,penta1,35.0,25.0,81.0
6,2014-04,2014.0,April,04,penta1,30.0,23.0,62.0
6,2014-11,2014.0,November,11,penta1,37.0,22.0,52.0
6,2015-03,2015.0,March,03,penta1,19.0,15.0,46.0
6,2015-06,2015.0,June,06,penta1,27.0,14.0,31.0
6,2014-03,2014.0,March,03,penta3,28.0,24.0,63.0
6,2014-05,2014.0,May,05,rota2,32.0,19.0,49.0
6,2014-09,2014.0,September,09,rota2,172.0,108.0,222.0
6,2014-08,2014.0,August,08,full_vacc,249.0,174.0,287.0
6,2015-07,2015.0,July,07,full_vacc,48.0,40.0,81.0
5,2014-06,2014.0,June,06,bcg,4.0,4.0,5.0
5,2015-01,2015.0,January,01,bcg,1.0,0.0,1.0
5,2015-03,2015.0,March,03,bcg,0.0,0.0,1.0
5,2014-06,2014.0,June,06,ipv,1.0,0.0,2.0
5,2015-01,2015.0,January,01,ipv,1.0,1.0,2.0
5,2015-03,2015.0,March,03,ipv,0.0,1.0,1.0
5,2013-11,2013.0,November,11,penta1,0.0,0.0,3.0
5,2013-12,2013.0,December,12,penta1,0.0,0.0,1.0
5,2014-03,2014.0,March,03,penta1,0.0,0.0,1.0
5,2014-04,2014.0,April,04,penta1,1.0,2.0,2.0
5,2014-09,2014.0,September,09,penta1,0.0,1.0,3.0
5,2014-01,2014.0,January,01,penta3,0.0,0.0,2.0
5,2014-12,2014.0,December,12,penta3,0.0,0.0,0.0
5,2015-02,2015.0,February,02,penta3,0.0,0.0,0.0
5,2015-04,2015.0,April,04,penta3,1.0,1.0,2.0
5,2015-06,2015.0,June,06,mcv1,0.0,0.0,1.0
5,2015-07,2015.0,July,07,mcv1,0.0,0.0,0.0
5,2014-08,2014.0,August,08,rota2,0.0,0.0,0.0
5,2015-08,2015.0,August,08,rota2,0.0,1.0,4.0
5,2014-05,2014.0,May,05,full_vacc,1.0,0.0,1.0
5,2014-07,2014.0,July,07,full_vacc,1.0,1.0,1.0
5,2015-10,2015.0,October,10,full_vacc,5.0,3.0,9.0
4,2014-06,2014.0,June,06,ipv,0.0,0.0,1.0
4,2015-10,2015.0,October,10,ipv,0.0,0.0,1.0
4,2014-10,2014.0,October,10,penta1,0.0,0.0,0.0
4,2015-02,2015.0,February,02,penta1,0.0,0.0,0.0
4,2015-03,2015.0,March,03,penta3,0.0,0.0,0.0
4,2015-04,2015.0,April,04,penta3,0.0,0.0,0.0
4,2015-09,2015.0,September,09,penta3,0.0,0.0,3.0
4,2013-12,2013.0,December,12,mcv1,1.0,0.0,0.0
4,2014-01,2014.0,January,01,mcv1,0.0,0.0,2.0
4,2014-04,2014.0,April,04,mcv1,0.0,1.0,1.0
4,2014-09,2014.0,September,09,mcv1,1.0,0.0,1.0
4,2015-05,2015.0,May,05,mcv1,0.0,0.0,0.0
4,2014-05,2014.0,May,05,rota2,1.0,0.0,0.0
4,2014-07,2014.0,July,07,rota2,4.0,3.0,4.0
4,2015-01,2015.0,January,01,rota2,0.0,0.0,0.0
4,2015-08,2015.0,August,08,rota2,2.0,1.0,5.0
4,2013-12,2013.0,December,12,full_vacc,1.0,0.0,0.0
4,2014-04,2014.0,April,04,full_vacc,0.0,1.0,1.0
4,2015-05,2015.0,May,05,full_vacc,0.0,0.0,0.0
