region,hf_id,hf_name,indicator,iqr,zscore,ttt
Amhara Regional Health Bureau,sQ0uaJWMOFS,Jarota Health Post,ipv,0.0,1.0,1.0
Amhara Regional Health Bureau,ZE3LlpnYdvc,Jibayita Health Post,bcg,1.0,0.0,1.0
Amhara Regional Health Bureau,ZE3LlpnYdvc,Jibayita Health Post,full_vacc,1.0,1.0,1.0
Amhara Regional Health Bureau,P1tpYc416gE,Siregedel Health Post,penta1,2.0,0.0,1.0
Amhara Regional Health Bureau,ZFP2iwo77vb,Afenker Health Post,full_vacc,1.0,1.0,1.0
Amhara Regional Health Bureau,gDbQZaDKZYA,Gohalla Primary Hospital,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,Uq1FPHkPqg6,Atate Health Post,mcv1,0.0,0.0,0.0
Amhara Regional Health Bureau,awkh8xTbTZj,Gowa Akotana Health Post,ipv,3.0,1.0,1.0
Amhara Regional Health Bureau,MgFUpFlgeje,Sasit Health Center,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,DLShfdr9F19,Chama Korach Health Post,rota2,0.0,0.0,0.0
Amhara Regional Health Bureau,KLbJWk3JWp2,Bekefta Health Post,mcv1,0.0,0.0,1.0
Amhara Regional Health Bureau,yFLiVg2DRPJ,Borebor Health Post,bcg,0.0,0.0,1.0
Amhara Regional Health Bureau,yFLiVg2DRPJ,Borebor Health Post,full_vacc,0.0,0.0,0.0
Amhara Regional Health Bureau,zFnl9xMBuj7,Teklie Terara Health Post,penta3,0.0,0.0,1.0
Amhara Regional Health Bureau,iyEiPBw0Yku,Agita Ayijasta Health Post,rota2,0.0,0.0,0.0
Amhara Regional Health Bureau,p6sVVV691sJ,Weqin Health Center,full_vacc,2.0,0.0,2.0
Amhara Regional Health Bureau,y1pvoIJ4IUB,Atiko Health Post,rota2,0.0,1.0,1.0
Amhara Regional Health Bureau,ctUztHg2kuF,Dire Health Post,mcv1,0.0,1.0,1.0
Amhara Regional Health Bureau,T9D7QNxXDZ6,Enebi Health Post,ipv,0.0,0.0,1.0
Amhara Regional Health Bureau,aB360sn2n7j,Sebi Abraham Health Post,ipv,1.0,0.0,2.0
Amhara Regional Health Bureau,qaqWVdPmtDf,Karipo Genda Dewie Health Post,penta3,1.0,1.0,2.0
Amhara Regional Health Bureau,QEtrDPQE9kU,Tekulesh Health Center,bcg,NaN,NaN,NaN
Amhara Regional Health Bureau,QEtrDPQE9kU,Tekulesh Health Center,penta3,NaN,NaN,NaN
Amhara Regional Health Bureau,I2paIEtwc5G,Addisgie Health Post,rota2,0.0,0.0,0.0
Amhara Regional Health Bureau,abqiFiP5mP6,Tis Abay Health Center,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,m5iAnsfSFaw,Abasem Health Post,mcv1,0.0,0.0,0.0
Amhara Regional Health Bureau,SwTvyXK4we7,Tulusertu Health Post,bcg,0.0,0.0,1.0
Amhara Regional Health Bureau,SwTvyXK4we7,Tulusertu Health Post,full_vacc,1.0,0.0,1.0
Amhara Regional Health Bureau,j20iqdEX1zI,Benat Health Post,bcg,2.0,2.0,2.0
Amhara Regional Health Bureau,j20iqdEX1zI,Benat Health Post,penta3,4.0,1.0,1.0
Amhara Regional Health Bureau,BJ1hkjhlU7F,Gius Debetra Health Post,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,OChOEHQOyku,Aywahna serkaysa Health Post,penta1,0.0,0.0,0.0
Amhara Regional Health Bureau,nfJG4IFI6yd,Kob Health Center,penta3,NaN,NaN,NaN
Amhara Regional Health Bureau,gt6w8K9Voqu,Weyeneye Health Post,bcg,NaN,NaN,NaN
Amhara Regional Health Bureau,gt6w8K9Voqu,Weyeneye Health Post,full_vacc,0.0,0.0,0.0
Amhara Regional Health Bureau,h3tWrJUIMDt,Dargegn Health Post,mcv1,0.0,0.0,0.0
Amhara Regional Health Bureau,SgDhYdfkCcX,Sazve Health Post,bcg,NaN,NaN,NaN
Amhara Regional Health Bureau,SgDhYdfkCcX,Sazve Health Post,full_vacc,NaN,NaN,NaN
Amhara Regional Health Bureau,Bab8APEb4sC,Abaselama Health Post,penta1,1.0,1.0,1.0
Amhara Regional Health Bureau,MvIz9HGE1jg,Aferamie Health Post,rota2,0.0,0.0,0.0
